,links,names,Type,Duration,Price,difficulty,Description,platform
10,https://online-learning.harvard.edu/course/culinary-health-education-fundamentals-chef-coaching%E2%80%94-basics?delta=0,Culinary Health Education Fundamentals (CHEF) Coaching—The Basics ,Health & Medicine,self paced,$220,Intermediate,"This HMS CME Online course is targeted to Specialty and Primary Care Physicians, Pharmacists, Physician Assistants, Psychologists, Nurses, Nurse Practitioners, Health and Wellness Coaches, Dietitians Physical Therapists, Social Workers, Exercise Physiologists, Occupational Therapists, Residents, Fellows, and Personal Trainers.",Other
11,https://online-learning.harvard.edu/course/systematic-approaches-policy-design?delta=0,Systematic Approaches to Policy Design,Social Sciences,self paced,Free*,Introductory,"This course will help senior officials make greater use of data and evidence in their everyday decision-making. This unit presents a few over-arching frameworks that are helpful in approaching complicated decisions. You will learn how to orgnaize your thinking, how to break a problem down into parts, and how to figure out where evidence can be most useful in making a decision.",Other
12,https://online-learning.harvard.edu/course/exercises-bone-strength?delta=0,Exercises for Bone Strength,Health & Medicine,self paced,$40,Introductory,"You’ll be introduced to seven complete workouts and 60 powerful exercises that will foster robust bone health, will increase bone density, and importantly, will protect you against the risk and consequences of osteoporosis.",Other
13,https://online-learning.harvard.edu/course/religion-conflict-and-peace?delta=2,"Religion, Conflict and Peace",Humanities,self paced,Free*,Introductory,"In this course, we will explore a series of contemporary conflicts in different regions of the world with a special focus on identifying and analyzing the diverse and complex roles that religions play in both promoting and mitigating violence in each context. Students will learn a method for recognizing and analyzing how religious ideologies are embedded in all arenas of human agency and not isolated from political, economic, and cultural life as is often assumed. ",edX
14,https://online-learning.harvard.edu/course/healthy-eating-type-2-diabetes?delta=0,Healthy Eating for Type 2 Diabetes,Health & Medicine,self paced,$30,Introductory,"Step-by-step, this easy-to-follow Course helps you better understand Type 2 Diabetes and shows how you can help control it with easy-to-apply lifestyle changes.",Other
15,https://online-learning.harvard.edu/course/resilient-leadership?delta=0,Resilient Leadership ,Business,self paced,Free*,Introductory,"In this two-part lesson, you’ll gain insight into leading through adversity through the example of explorer Ernest Shackleton and his historic Endurance expedition.",Harvard Business School Online
16,https://online-learning.harvard.edu/course/new-ideas-nonprofit-leaders-webinar?delta=0,New Ideas for Nonprofit Leaders Webinar,Social Sciences,self paced,Free*,Introductory,"The ""New Ideas for Nonprofit Leaders"" webinar features a presentation from Arthur Brooks, professor of public leadership at the Harvard Kennedy School and professor of management practice at the Harvard Business School. Explore cutting-edge concepts from Professor Brooks that tie tactics of the most effective nonprofit leaders back to the basics of human connection. ",Executive Education
17,https://online-learning.harvard.edu/course/harvard-kennedy-school-executive-education?delta=0,Harvard Kennedy School Executive Education,Social Sciences,self paced,Free*,Introductory,What kind of leader are you? Browse our program offerings with our latest Program Guide and find the right one for you.,Executive Education
18,https://online-learning.harvard.edu/course/negotiating-salary?delta=0,Negotiating Salary,Business,self paced,Free*,Introductory,"In this free, 15-minute, Harvard Business School (HBS) Online lesson, you'll learn how to be a more effective negotiator and improve your bargaining skills through a deal between former professional hockey player Derek Sanderson and the World Hockey Association.",Harvard Business School Online
19,https://online-learning.harvard.edu/course/4p-model-strategic-leadership-podcasts?delta=0,4P Model for Strategic Leadership Podcasts,Social Sciences,self paced,Free*,Introductory,This 4-part podcast series focuses on the less obvious but no less important aspects of successful leadership with practical tips to apply immediately.,Executive Education
20,https://online-learning.harvard.edu/course/science-corresponding-busy-people-webinar?delta=0,The Science of Corresponding with Busy People Webinar,Social Sciences,self paced,Free*,Introductory,"The “The Science of Corresponding with Busy People” webinar features a presentation from Todd Rogers, a behavioral scientist and professor of public policy professor Harvard Kennedy School (HKS). Learn more about his take on the five principles for effective communication and how to implement them in your writing. This free webinar is held in conjunction with the Behavioral Insights and Public Policy executive program from HKS.",Executive Education
21,https://online-learning.harvard.edu/tangible-things?delta=1,Tangible Things,Humanities,self paced,Free*,Introductory,"Have you ever wondered about how museum, library, and other kinds of historical or scientific collections all come together? Or how and why curators, historians, archivists, and preservationists do what they do?",edX
22,https://online-learning.harvard.edu/course/cancer-survivorship-optimizing-care-and-outcomes?delta=0,Cancer Survivorship: Optimizing Care and Outcomes,Health & Medicine,self paced,$275+,Advanced,"This HMS CME Online course is targeted to Primary Care Physicians, Community and Academic Oncologists, Hematologists and other medical and surgical specialists. We also encourage Nurses, Nurse Practitioners, Physician Assistants, Psychologists, and Social Workers who care for cancer patients and survivors to take the course. ",HMS Continuing Education
23,https://online-learning.harvard.edu/course/cs50s-understanding-technology-0?delta=0,CS50's Understanding Technology,Programming,self paced,Free*,Introductory,"This is CS50's introduction to technology for students who don’t (yet) consider themselves computer persons. Designed for those who work with technology every day but don’t necessarily understand how it all works underneath the hood or how to solve problems when something goes wrong, this course fills in the gaps, empowering you to use and troubleshoot technology more effectively. Through lectures on hardware, the Internet, multimedia, security, programming, and web development, this course equips you for today’s technology and prepares you for tomorrow’s as well.",edX
24,https://online-learning.harvard.edu/course/cs50s-introduction-programming-scratch?delta=0,CS50's Introduction to Programming with Scratch,Computer Science,self paced,Free*,Introductory,"An introduction to programming using Scratch, a visual programming language via which aspiring programmers can write code by dragging and dropping graphical blocks (that resemble puzzle pieces) instead of typing out text. Used at the start of Harvard College's introductory course in computer science, CS50, Scratch was designed at MIT's Media Lab, empowering students with no prior programming experience to design their own animations, games, interactive art, and stories. Using Scratch, this course introduces students to fundamentals of programming, found not only in Scratch itself but in traditional text-based languages (like Java and Python) as well. Topics include: functions, which are instructions that perform tasks; return values, which are results that functions provide; conditions, via which programs can decide whether or not to perform some action; loops, via which programs can take action again and again; variables, via which programs can remember information; and more. Ultimately, this course prepares students for subsequent courses in programming.",edX
25,https://online-learning.harvard.edu/course/cs50s-computer-science-business-professionals-0?delta=0,CS50's Computer Science for Business Professionals,Programming,self paced,Free*,Introductory,"This is CS50’s introduction to computer science for business professionals, designed for managers, product managers, founders, and decision-makers more generally. Whereas CS50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Through lectures on computational thinking, programming languages, internet technologies, web development, technology stacks, and cloud computing, this course empowers you to make technological decisions even if not a technologist yourself. You’ll emerge from this course with first-hand appreciation of how it all works and all the more confident in the factors that should guide your decision-making.",edX
26,https://online-learning.harvard.edu/course/walking-health-0?delta=0,Walking for Health,Health & Medicine,self paced,$30,Introductory,"The Harvard Medical School Walking for Health Online Course is overflowing with energizing walking workouts...how-to videos...practical hints and tips...informative slide shows...and more — all the practical tools you need to help you build strength, lose weight, improve your balance...brighten your mood...and more!",Other
27,https://online-learning.harvard.edu/course/core-exercises?delta=0,Core Exercises,Health & Medicine,self paced,$30,Introductory,"In this new Harvard Health Publishing online course you can discover the surprisingly simple steps to help improve your strength, flexibility, balance, and posture—and even help strengthen your bones and trim your waistline.",Other
28,https://online-learning.harvard.edu/course/caregivers-guide?delta=0,The Caregiver's Guide,Health & Medicine,self paced,$30,Introductory,"This comprehensive, interactive Harvard Medical School online course gives you the tools, strategies, and reassuring support you need to provide compassionate, encouraging, confident care to a loved one — and, just as importantly, to take care of yourself. Overflowing with interactive worksheets, checklists, and practical hints and tips, this unique audiovisual course is a helpful roadmap to help you navigate the concerns you face today...and the unpredictable issues you may face down the road.",Other
29,https://online-learning.harvard.edu/course/lose-weight-and-keep-it?delta=0,Lose Weight and Keep It Off,Health & Medicine,self paced,$30,Introductory,"This Harvard Health Publishing online course helps you customize a plan that you can live with to reach your weight loss goals. It is overflowing with simple eating plans, practical hints and tips, food charts, and more — all the tools you need to help you reach and maintain your ideal weight.",Other
30,https://online-learning.harvard.edu/course/caregivers-guide?delta=0,The Caregiver's Guide,Health & Medicine,self paced,$30,Introductory,"This comprehensive, interactive Harvard Medical School online course gives you the tools, strategies, and reassuring support you need to provide compassionate, encouraging, confident care to a loved one — and, just as importantly, to take care of yourself. Overflowing with interactive worksheets, checklists, and practical hints and tips, this unique audiovisual course is a helpful roadmap to help you navigate the concerns you face today...and the unpredictable issues you may face down the road.",Other
31,https://online-learning.harvard.edu/course/improving-your-sleep?delta=0,Improving Your Sleep,Health & Medicine,self paced,$30,Introductory,"The Harvard Health Publishing course Improving Your Sleep will show you how to overcome the obstacles interfering with the good night’s rest you want and your body needs. You’ll find why sleep often eludes us as adults. You’ll explore habits and conditions that can rob you of peaceful slumber. And most important, you’ll learn the changes you can make and steps you can take to restore consistently restful and restorative sleep. Is snoring causing strife? Could sleep apnea be threatening a loved one’s life—or yours? The course provides instructive guidance to address these sleep breathing disorders as well as other common sleep disturbances including Restless Leg Syndrome, sleep/wake cycle disorders, narcolepsy, jet lag, and even sleepwalking.",Other
32,https://online-learning.harvard.edu/course/managing-your-cholesterol?delta=0,Managing Your Cholesterol,Health & Medicine,self paced,$30,Introductory,"In this Harvard Health Publishing course Harvard doctors take the mystery out of managing cholesterol. You’ll learn the best ways to successfully lower bad cholesterol, decrease elevated triglycerides, and achieve the strengthened and enduring heart health you want.",Other
33,https://online-learning.harvard.edu/course/sikhism-through-its-scriptures-0?delta=1, Sikhism Through Its Scriptures,Humanities,self paced,Free*,Introductory,"Sikhi, commonly known as Sikhism, is a monotheistic religious tradition that was founded by Guru Nanak in late fifteenth-century Panjab in South Asia. Today, Sikhi’s approximately twenty-five to thirty million adherents can be found all over the globe, making it one of the six major religions of the world. Sikhi encompasses several religious, social, economic and political institutions, most of which were established and nurtured by Guru Nanak and his nine successors, known as Sikh Gurus. ",edX
34,https://online-learning.harvard.edu/course/religious-literacy-traditions-and-scriptures?delta=2,Religious Literacy: Traditions and Scriptures,Humanities,self paced,Free*,Introductory,"The study of religion is the study of a rich and fascinating dimension of human experience that includes but goes well beyond beliefs and ritual practices. In this religion course, learners explore case studies about how religions are internally diverse, how they evolve and change through time, and how religions are embedded in all dimensions of human experience. We’ll explore these tenets through the lens of scripture and through themes such as gender and sexuality, art, violence and peace, science, and power and authority.",edX
35,https://online-learning.harvard.edu/course/christianity-through-its-scriptures?delta=1,Christianity Through Its Scriptures,Humanities,self paced,Free*,Introductory,"Christianity is a global religion. From modest beginnings 2,000 years ago, it has grown to encompass nearly a third of the human population. Diverse in languages, cultures, histories, and creeds, Christians nonetheless share a common collection of sacred scripture called the Bible.",edX
36,https://online-learning.harvard.edu/course/buddhism-through-its-scriptures?delta=2,Buddhism Through Its Scriptures,Humanities,self paced,Free*,Introductory,"Whether you are new to the study of Buddhism or have been studying it or practicing it for years, this course will provide you with the opportunity to become acquainted with a variety of Buddhist teachings while guiding you to think about them, and yourself, in new ways.",edX
37,https://online-learning.harvard.edu/course/islam-through-its-scriptures?delta=1, Islam Through Its Scriptures,Humanities,self paced,Free*,Introductory,"How can you improve your understanding of Islam and its most important holy text, the Quran? How can you make sense of a tradition and a text that have been interpreted in different ways across vast geographical spaces for nearly a millennium and a half?",edX
38,https://online-learning.harvard.edu/course/hinduism-through-its-scriptures?delta=1,Hinduism Through Its Scriptures,Humanities,self paced,Free*,Introductory,Ever wondered about the sacred scriptures that have sustained for millennia one of the oldest and most diverse religions of the world - Hinduism? Want to discover the lessons this history may offer mankind in the 21st century?,edX
39,https://online-learning.harvard.edu/course/judaism-through-its-scriptures?delta=2, Judaism Through Its Scriptures,Humanities,self paced,Free*,Introductory,"For over two millennia, Jews throughout the entire world have been committed to reading, interpreting, and living their scriptures. But what are the Jewish scriptures? When were they written? And why are they relevant in the 21st century?",edX
40,https://online-learning.harvard.edu/course/chinas-first-empires-and-the-rise-of-buddhism?delta=2,China’s First Empires and the Rise of Buddhism,Humanities,self paced,Free*,Introductory,"This course, the second in a collection on Chinese history and culture, addresses how the Qin dynasty conquered China and established a new system of government and how the Han dynasty built a stable, centralized empire that lasted for hundreds of years. We cover the early history of Buddhism in China and how the rising feudal aristocracy responded to the loss of empire by looking inward.",edX
41,https://online-learning.harvard.edu/course/cosmopolitan-tang-aristocratic-culture-in-china?delta=2,Cosmopolitan Tang: Aristocratic Culture in China,Humanities,self paced,Free*,Introductory,"By the Tang period, China was divided into northern and southern dynasties with different rulers and political systems. The north was conquered by relatively unsophisticated barbarians, but in the south, the aristocratic families established a refined appreciation of writing and literature.",edX
42,https://online-learning.harvard.edu/course/mechanical-ventilation-covid-19?delta=0,Mechanical Ventilation for COVID-19,Health & Medicine,self paced,Free*,Introductory,"This course will help prepare licensed non-ICU hospital clinicians to assist in the operation of a ventilator. Given the increasing number of patients contracting COVID-19 and developing pneumonia, the medical system is, and will continue to be, in dire need of licensed medical professionals who can assist in the operation of mechanical ventilators.",edX
43,https://online-learning.harvard.edu/course/designing-organizational-structure?delta=0,Designing Organizational Structure,Business,self paced,Free*,Introductory,"In this free, 30-minute lesson, Harvard Business School (HBS) Online Professors Joshua Margolis and Anthony Mayo explore how organizational leaders can align people, systems and structure, and culture to deliver value through the examples of a medical device executive and grocery store CEO. ",edX
44,https://online-learning.harvard.edu/course/pricing-strategy?delta=0,Pricing Strategy,Business,self paced,Free*,Introductory,"In this free, 15-minute Harvard Business School (HBS) Online lesson, you'll learn the principles underlying pricing strategy through the example of event ticket reseller Ace Ticket.",edX
45,https://online-learning.harvard.edu/course/identifying-competitive-risk?delta=0,Identifying Competitive Risk ,Business,self paced,Free*,Introductory,"In this free, 30-minute Harvard Business School (HBS) Online lesson, you’ll learn how to identify sources of competitive risk and examine how they impact strategy through the example of Quiet Logistics, a company that provides order fulfillment to e-commerce retailers.",edX
46,https://online-learning.harvard.edu/course/investing-private-equity?delta=0,Investing in Private Equity,Business,self paced,Free*,Introductory,"In this free, two-part 40-minute Harvard Business School (HBS) Online lesson, you’ll explore how private equity investing is evolving and different approaches for entering this growing alternative investment space through the example of Denmark’s largest private pension fund, PFA Pension.",edX
47,https://online-learning.harvard.edu/course/understanding-customer-needs?delta=0,Understanding Customer Needs,Business,self paced,Free*,Introductory,"In this free, 15-minute Harvard Business School (HBS) Online lesson, you’ll learn how to identify customer needs through Clayton Christensen’s famed Jobs to be Done theory and CVS Pharmacy’s MinuteClinic.",edX
48,https://online-learning.harvard.edu/course/opioid-crisis-america?delta=2,The Opioid Crisis in America,Health & Medicine,self paced,Free*,Introductory,"On average, 130 Americans die every day from an overdose of opioids, the class of drugs that includes heroin, hydrocodone, codeine, morphine, and fentanyl. Around 70% of all opioid overdose deaths involved a prescription opioid. Drug overdose is now the leading cause of accidental death in the United States — opioid addiction is driving this epidemic.",edX
49,https://online-learning.harvard.edu/course/first-nights-handel%E2%80%99s-messiah-and-baroque-oratorio?delta=2,Handel's Messiah and Baroque Oratorio,Art & Design,self paced,Free*,Introductory,"While Italian opera set the standard in the Baroque era, German composer George Frederic Handel quickly gained popularity for his oratorios, which put operatic techniques to work in the service of sacred music. Handel’s Messiah premiered in Dublin on April 13, 1742, and remains popular to this day. Harvard’s Thomas Forrest Kelly (Morton B. Knafel Professor of Music) guides learners through Messiah’s musical highlights while detailing Handel’s composition process, the preparations and rehearsals, and the premiere performance.",edX
50,https://online-learning.harvard.edu/course/first-nights-berlioz%E2%80%99s-symphonie-fantastique-and-program-music-19th-century?delta=3,First Nights: Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,Art & Design,self paced,Free*,Introductory,"Six years after the premiere of Beethoven’s monumental Ninth Symphony, composer Hector Berlioz sought to make use of the symphonic genre, but on his terms. Indeed, he wrote not only a five-movement symphony but also a narrative program to accompany and explain the symphony.",edX
51,https://online-learning.harvard.edu/course/first-nights-beethoven%E2%80%99s-9th-symphony-and-19th-century-orchestra?delta=2,Beethoven's 9th Symphony and the 19th Century Orchestra,Art & Design,self paced,Free*,Introductory,"Ludwig van Beethoven’s 9th Symphony premiered in Vienna in 1824 and continues to be one of the most popular symphonies in the repertoire. The monumental symphony’s size and complexity stretch traditional instrumental forms to the breaking point, and its famous choral finale changed our view of orchestral music forever.",edX
52,https://online-learning.harvard.edu/course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera?delta=2,Monteverdi’s L’Orfeo and the Birth of Opera,Art & Design,self paced,Free*,Introductory,"Claudio Monteverdi’s L’Orfeo premiered in Mantua in 1607 and continues to be regarded as one of the most important examples of early opera. With L’Orfeo, Monteverdi helped to establish the techniques and traditions that continue to inform the genre of opera to this day.",edX
53,https://online-learning.harvard.edu/course/first-nights-igor-stravinsky%E2%80%99s-rite-spring-modernism-ballet-and-riots?delta=2,"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",Art & Design,self paced,Free*,Introductory,"Igor Stravinsky’s The Rite of Spring premiered in Paris in 1913, sparking a riot and screaming so loud that the dancers could not hear the orchestra, and the choreographer had to shout numbers from backstage to keep the dancers on beat.",edX
54,https://online-learning.harvard.edu/course/global-news-technology-leadership-challenging-times?delta=0,Global News & Technology Leadership in Challenging Times,Business,self paced,Free*,Introductory,"Offered by the Institute of Politics at Harvard Kennedy School, this panel discussion is lead by Nancy Gibbs, Shorenstein Center Director and faculty chair of the online executive program, Leading through the Changing Media Landscape. More information on this program is available at https://www.hks.harvard.edu/educational-programs/executive-education/leading-through-changing-media-landscape-online. Other panelists include Maria Ressa, Mark Thompson, Richard Gingras, and Craig Forman.",edX
55,https://online-learning.harvard.edu/course/innovating-health-care?delta=1,Innovating in Health Care,Business,self paced,Free*,Intermediate,"Health care spending, quality, and access continue to plague America and global nations alike. With U.S. health care costs trending toward $4 trillion in 2020, the need to innovate and create smart, viable business plans is more important than ever before.",edX
56,https://online-learning.harvard.edu/course/our-information-emergency-navigating-media-environment-2021?delta=0,Our Information Emergency: Navigating the Media Environment in 2021,Social Sciences,self paced,Free*,Introductory,"We are in the midst of historic media transformation, and our understanding of truth, trust, and communication has been upended by a combination of technological, social and political forces. Led by Nancy Gibbs, Director of the Shorenstein Center and the Edward R. Murrow Professor of Practice of Press, Politics and Public Policy at Harvard Kennedy School and Faculty Chair of Leading through the Changing Media Landscape, this video explores the underlying forces that are shaping today’s media environment, and techniques to be more successful in light of these forces.",edX
57,https://online-learning.harvard.edu/course/introduction-family-engagement-education?delta=3,Introduction to Family Engagement in Education,Education & Teaching,self paced,Free*,Introductory,"In this education course, you will learn what family engagement is and why it matters to the success of students and schools. We will explore the research linking family engagement to better educational outcomes and speak directly with researchers, educators, students, and families about promising practices in the field.",edX
58,https://online-learning.harvard.edu/course/principles-statistical-and-computational-tools-reproducible-data-science?delta=2,"Principles, Statistical and Computational Tools for Reproducible Data Science",Data Science,self paced,Free*,Intermediate,"Today the principles and techniques of reproducible research are more important than ever, across diverse disciplines from astrophysics to political science. No one wants to do research that can’t be reproduced. Thus, this course is really for anyone who is doing any intensive data research. While many of us come from a biomedical background, this course is for a broad audience of data scientists.",edX
59,https://online-learning.harvard.edu/course/citiesx-past-present-and-future-urban-life?delta=3,"CitiesX: The Past, Present and Future of Urban Life",Social Sciences,self paced,Free*,Introductory,"For the first time in human history, more than fifty percent of the world’s population lives in urban areas. Cities allow for the exchange of ideas and generate remarkable innovations in business, art, and ideas. Cities are also home to millions living in poverty. Urban living can provide a pathway to a better life, but that’s not always the case for many people around the world.",edX
60,https://online-learning.harvard.edu/course/entrepreneurship-in-emerging-economies?delta=4,Entrepreneurship in Emerging Economies,Business,self paced,Free*,Introductory,"This business and management course, taught by Harvard Business School professor Tarun Khanna, takes an interdisciplinary approach to understanding and solving complex social problems. You will learn about prior attempts to address these problems, identify points of opportunity for smart entrepreneurial efforts, and propose and develop your own creative solutions.",edX
61,https://online-learning.harvard.edu/course/improving-your-business-through-culture-health?delta=3,Improving Your Business Through a Culture of Health,Health & Medicine,self paced,Free*,Introductory,"While the United States is one of the world’s wealthiest nations, it is far from the healthiest. Our nation’s burden of disease affects businesses every day, from sick employees and families reducing productivity and increasing costs, to product recalls and failures, to environmental scandals such as toxic chemical emissions harming communities and reputations.",edX
62,https://online-learning.harvard.edu/course/chinax-book-club-five-authors-five-books-five-views-china?delta=2,"ChinaX Book Club: Five Authors, Five Books, Five Views of China",Humanities,self paced,Free*,Introductory,How can literature and literary analysis allow us to understand the dynamics of contemporary China? ****,edX
63,https://online-learning.harvard.edu/course/free-business-lessons-harvard-business-school-online?delta=0,Free Business Lessons from Harvard Business School Online,Business,self paced,Free*,Introductory,"Now is the perfect time to advance your career. Gain access to free, interactive business lessons you can complete fully online—on your own time—while engaging with a community of learners from around the world.",Harvard Business School Online
64,https://online-learning.harvard.edu/course/microbachelors-program-university-chemistry?delta=0,MicroBachelors® Program in University Chemistry,Science,self paced,Free*,Intermediate,"What technical forces are shaping the modern world? Revolutionary developments in the union of chemistry and physics hold the key to solving unprecedented global problems; however, understanding the central role that chemistry plays in addressing these problems and shaping our modern world requires a fundamental grasp of fundamental concepts of energy and energy transformations. Learn the foundations of chemistry in HarvardX’s University Chemistry MicroBachelors Program. ",Harvard Business School Online
65,https://online-learning.harvard.edu/course/challenges-higher-education-webinar?delta=0,Challenges in Higher Education Webinar,Social Sciences,self paced,Free*,Introductory,"The “Challenges in Higher Education” webinar features a presentation from Harvard Kennedy School Dean Doug Elmendorf. This free webinar relates to concepts covered in the Our Crisis Leadership in Higher Education executive program. To gain more insights into how to prepare for and respond to crises more effectively as a higher education leader, apply for the executive program today.",Harvard Business School Online
66,https://online-learning.harvard.edu/course/strategic-diversity-leadership-and-addressing-racial-challenges-our-cities-webinar?delta=0,Strategic Diversity Leadership and Addressing Racial Challenges in our Cities Webinar,Social Sciences,self paced,Free*,Introductory,"The “Strategic Diversity Leadership and Addressing Racial Challenges in our Cities” webinar presented by Harvard Kennedy School Executive Education relates to concepts covered in the Promoting Racial Equity in the Workplace online program and the Strategies for Building and Leading Diverse Organizations on-campus program. To gain more insights into how to leaders can develop strategies to improve upon the diversity and reach organizational goals, apply for the executive program today.",Harvard Business School Online
67,https://online-learning.harvard.edu/course/fat-chance-probability-ground?delta=2,Fat Chance: Probability from the Ground Up,Mathematics,self paced,Free*,Introductory,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. ",Harvard Business School Online
68,https://online-learning.harvard.edu/course/principles-biochemistry-1?delta=2,Principles of Biochemistry,Science,self paced,Free*,Intermediate,"Principles of Biochemistry integrates an introduction to the structure of macromolecules and a biochemical approach to cellular function. Topics addressing protein function will include enzyme kinetics, the characterization of major metabolic pathways and their interconnection into tightly regulated networks, and the manipulation of enzymes and pathways with mutations or drugs. An exploration of simple cells (red blood cells) to more complex tissues (muscle and liver) will be used as a framework to discuss the progression in metabolic complexity. Learners will also develop problem-solving and analytical skills that are more generally applicable to the life sciences.",edX
69,https://online-learning.harvard.edu/course/remote-work-revolution-everyone?delta=1,Remote Work Revolution for Everyone,Business,self paced,Free*,Introductory,How are you thriving or surviving in your remote work environment? ,edX
70,https://online-learning.harvard.edu/course/early-childhood-development-global-strategies-interventions?delta=1,Early Childhood Development: Global Strategies for Interventions,Education & Teaching,self paced,Free*,Introductory,How can we ensure that we don’t fail the next generation of children? What investments do we need to make an impact? What implementation decisions do we need to make for program success?,edX
71,https://online-learning.harvard.edu/course/stroke-and-other-common-neurological-conditions?delta=0,Stroke and Other Common Neurological Conditions,Health & Medicine,self paced,$494,Advanced,"The topics in this HMS CME Online course were chosen with the purpose of targeting the increasing disparity between demand and availability of neurologists and empowering health care professionals to increase their comfort level in the referral, recognition, and treatment of neurological conditions.",Other
72,https://online-learning.harvard.edu/course/we-people-civic-engagement-constitutional-democracy?delta=0,We the People: Civic Engagement in a Constitutional Democracy,Social Sciences,self paced,Free*,Introductory,When you read the Declaration of Independence do you feel inspired? Do you question those words? Do you think about what this means today?,edX
